path,group,extension,line_count,review_flags
server/src/db/migrations/20260328000001_permission_consolidation.js,backend:migration,.js,69,
server/src/db/migrations/20260328000002_user_profile_extension.js,backend:migration,.js,43,
server/src/db/migrations/20260328000003_user_module_access.js,backend:migration,.js,55,
server/src/db/migrations/20260330000001_add_document_type_to_preview_files.js,backend:migration,.js,32,
server/src/db/migrations/20260331000001_add_invoice_number_fields.js,backend:migration,.js,73,
server/src/db/migrations/20260331000001_create_color_scheme_tables.js,backend:migration,.js,39,
server/src/db/migrations/20260331000002_create_inventory_3d_assets_table.js,backend:migration,.js,144,
server/src/db/migrations/20260401000001_create_inventory_3d_spatial_planning_tables.js,backend:migration,.js,128,
server/src/db/migrations/20260402000001_add_asset_project_type_to_inventory_3d_projects.js,backend:migration,.js,18,
server/src/db/migrations/20260403000001_fix_reimbursement_processed_file_dedup.js,backend:migration,.js,32,
server/src/db/migrations/20260405000001_sanitize_search_document_pii.js,backend:migration,.js,75,console-call
server/src/db/migrations/20260406000001_add_surface_to_color_schemes.js,backend:migration,.js,75,
server/src/db/migrations/20260418000001_create_inventory_3d_scene_export_tables.js,backend:migration,.js,119,
server/src/db/migrations/20260419000001_expand_inventory_3d_project_source_types.js,backend:migration,.js,27,
server/src/db/migrations/20260423000001_create_lottery_v2_beta_tables.js,backend:migration,.js,125,
server/src/db/migrations/20260505000001_expand_reimbursement_invoice_identifiers.js,backend:migration,.js,53,
server/src/db/migrations/20260506000001_create_sys_role_and_migrate_user_roles.js,backend:migration,.js,73,console-call
server/src/db/migrations/20260506000002_create_dict_tables.js,backend:migration,.js,54,console-call
server/src/db/migrations/20260506000003_create_operation_log_table.js,backend:migration,.js,33,
server/src/db/migrations/20260506000004_create_sys_job_tables.js,backend:migration,.js,39,
server/src/db/migrations/20260523000001_add_reimbursement_ocr_observability.js,backend:migration,.js,77,
server/src/db/migrations/20260610000001_create_design_request_tables.js,backend:migration,.js,102,
server/src/db/migrations/20260610000002_create_design_collaboration_import_tables.js,backend:migration,.js,100,
server/src/db/migrations/20260610000003_design_collaboration_export_rounds.js,backend:migration,.js,154,
server/src/db/migrations/20260610000004_create_race_staff_assignments.js,backend:migration,.js,42,
server/src/db/migrations/20260610000005_create_approval_foundation.js,backend:migration,.js,149,
server/src/db/migrations/20260610000006_design_progress_tracking.js,backend:migration,.js,124,
server/src/db/migrations/20260611000001_design_org_scope.js,backend:migration,.js,230,
server/src/docs/swagger.js,backend:core,.js,54,hardcoded-local-origin
server/src/index.js,backend:core,.js,91,hardcoded-local-origin|console-call
server/src/middleware/error-handler.js,backend:middleware,.js,71,console-call
server/src/middleware/operation-log.js,backend:middleware,.js,57,console-call
server/src/middleware/rate-limiter.js,backend:middleware,.js,131,hardcoded-local-origin|console-call
server/src/middleware/request-id.js,backend:middleware,.js,11,
server/src/middleware/require-assessment-session.js,backend:middleware,.js,35,
server/src/middleware/require-auth.js,backend:middleware,.js,71,todo-marker|console-call
server/src/middleware/require-authz.js,backend:middleware,.js,91,
server/src/middleware/require-capability.js,backend:middleware,.js,24,
server/src/middleware/require-module-access.js,backend:middleware,.js,166,
server/src/middleware/require-org-access.js,backend:middleware,.js,45,console-call
server/src/middleware/require-org-scope.js,backend:middleware,.js,40,
server/src/middleware/require-permission.js,backend:middleware,.js,137,
server/src/middleware/require-race-access.js,backend:middleware,.js,56,console-call
server/src/middleware/require-reimbursement-access.js,backend:middleware,.js,342,console-call
server/src/middleware/require-roles.js,backend:middleware,.js,26,
server/src/middleware/require-surface-access.js,backend:middleware,.js,25,
server/src/middleware/tenant-context.js,backend:middleware,.js,37,
server/src/modules/admin/admin-reimbursement.routes.js,backend:module,.js,28,
server/src/modules/admin/admin.routes.js,backend:module,.js,445,
server/src/modules/admin/admin.service.js,backend:module,.js,361,
server/src/modules/app/app-3d-studio.routes.js,backend:module,.js,883,large>=500
server/src/modules/app/app-credential.routes.js,backend:module,.js,79,
server/src/modules/app/app-reimbursement.routes.js,backend:module,.js,121,
server/src/modules/approvals/approval-resolver.service.js,backend:module,.js,210,
server/src/modules/approvals/approval.routes.js,backend:module,.js,118,
server/src/modules/approvals/approval.service.js,backend:module,.js,748,large>=500
server/src/modules/approvals/scope-role-assignment.service.js,backend:module,.js,198,
server/src/modules/assessment/assessment-admin.routes.js,backend:module,.js,154,
server/src/modules/assessment/assessment-crypto.js,backend:module,.js,78,
server/src/modules/assessment/assessment-public.routes.js,backend:module,.js,131,
server/src/modules/assessment/assessment.repository.js,backend:module,.js,332,
server/src/modules/assessment/assessment.service.js,backend:module,.js,1281,large>=1000|console-call
server/src/modules/audit/audit.job-handler.js,backend:module,.js,530,large>=500|console-call
server/src/modules/audit/audit.repository.js,backend:module,.js,142,
server/src/modules/audit/audit.routes.js,backend:module,.js,94,
server/src/modules/auth/auth.repository.js,backend:module,.js,177,
server/src/modules/auth/auth.routes.js,backend:module,.js,405,
server/src/modules/auth/auth.service.js,backend:module,.js,492,todo-marker|hardcoded-local-origin|console-call
server/src/modules/authz/authz.routes.js,backend:module,.js,24,
server/src/modules/bib/bib.repository.js,backend:module,.js,351,
server/src/modules/bib/bib.routes.js,backend:module,.js,143,
server/src/modules/calendar/calendar.controller.js,backend:module,.js,31,
server/src/modules/calendar/calendar.routes.js,backend:module,.js,9,
server/src/modules/clothing/clothing.repository.js,backend:module,.js,149,
server/src/modules/clothing/clothing.routes.js,backend:module,.js,72,
server/src/modules/color-scheme/color-scheme.routes.js,backend:module,.js,272,
